timestamp,symbol_profile,trade_type,shares,price,avg_cost_basis,rsi,macd_line,macd_signal,vwap,sma20,sma50,trend_15m,atr,risk_per_share,pnl,pnl_pct,cash_balance,reason,stop_price_triggered,trailing_stop_triggered
20250402 14:18:00 US/Eastern,CONL_aggressive,BUY,25,14.8200,14.8200,33.83,-0.0953,-0.1000,14.9983,14.9340,0.0000,bullish,0.0639,0.1000,,,157.91,"Buy Init: RSI(33.83)<=OS(35), 15mOK, >VWAP",14.720,
20250402 14:20:00 US/Eastern,HIMS_aggressive,SELL,25,29.8700,29.9300,35.91,-0.0859,-0.0946,30.1262,30.0195,0.0000,bullish,0.0946,0.1664,-1.500,-0.200,904.66,TrailingStopHit(29.957),,29.957
20250402 14:21:00 US/Eastern,SCHD_aggressive,SELL,25,27.7700,27.7800,36.85,-0.0057,-0.0041,27.7766,27.7905,0.0000,bullish,0.0178,0.1000,-0.250,-0.036,1598.91,TrailingStopHit(27.779),,27.779
20250402 14:23:00 US/Eastern,TQQQ_aggressive,BUY,25,59.0700,59.0700,34.70,-0.1644,-0.1701,59.1296,59.3300,0.0000,bullish,0.1763,0.2645,,,122.16,"Buy Init: RSI(34.70)<=OS(35), 15mOK, >VWAP",58.806,
20250402 14:24:00 US/Eastern,CONL_aggressive,SELL,25,14.8600,14.8200,41.18,-0.0569,-0.0742,14.9978,14.8805,0.0000,bullish,0.0637,0.1000,1.000,0.270,493.66,TrailingStopHit(14.874),,14.874
20250402 14:28:00 US/Eastern,TQQQ_aggressive,SELL,25,58.8400,59.0700,30.92,-0.1837,-0.1726,59.1282,59.2265,0.0000,bullish,0.1714,0.2645,-5.750,-0.389,1964.66,TrailingStopHit(58.934),,58.934
20250402 14:28:00 US/Eastern,HIMS_aggressive,BUY,25,29.6700,29.6700,31.41,-0.1175,-0.1057,30.1194,29.9080,0.0000,bullish,0.0997,0.1496,,,1222.91,"Buy Init: RSI(31.41)<=OS(35), 15mOK, >VWAP",29.520,
20250402 14:28:00 US/Eastern,HOOD_aggressive,BUY,25,42.5000,42.5000,34.96,-0.0540,-0.0388,42.5754,42.7035,0.0000,bearish,0.1043,0.1565,,,160.41,"Buy Init: RSI(34.96)<=OS(35), 15mOK, >VWAP",42.344,
20250402 14:33:00 US/Eastern,HOOD_aggressive,SELL,7,42.7400,42.5000,52.59,-0.0347,-0.0458,42.5762,42.6930,0.0000,bearish,0.1126,0.1565,1.680,0.565,459.59,PartialTP 1 (1.5R @42.735),,
20250402 14:36:00 US/Eastern,HIMS_aggressive,SELL,7,29.9500,29.6700,54.54,-0.0553,-0.0901,30.1089,29.8230,0.0000,bullish,0.1030,0.1496,1.960,0.944,669.24,PartialTP 1 (1.5R @29.894),,
20250402 14:37:00 US/Eastern,HIMS_aggressive,SELL,7,29.9800,29.6700,56.31,-0.0386,-0.0798,30.1087,29.8185,0.0000,bullish,0.1014,0.1496,2.170,1.045,879.10,PartialTP 2 (2.0R @29.969),,
20250402 14:37:00 US/Eastern,HOOD_aggressive,SELL,7,42.8400,42.5000,57.35,0.0009,-0.0267,42.5779,42.6835,0.0000,bearish,0.1142,0.1565,2.380,0.800,1178.98,PartialTP 2 (2.0R @42.813),,
20250402 14:40:00 US/Eastern,HOOD_aggressive,SELL,10,42.9800,42.5000,63.66,0.0432,0.0012,42.5798,42.7075,0.0000,bearish,0.1047,0.1565,4.800,1.129,1608.78,PartialTP 3 (3.0R @42.969),,
20250402 14:42:00 US/Eastern,TLT_aggressive,BUY,16,90.9400,90.9400,33.19,-0.0143,-0.0014,91.4206,91.0150,0.0000,bullish,0.0292,0.1000,,,153.74,"Buy Init: RSI(33.19)<=OS(35), 15mOK, >VWAP",90.840,
20250402 14:43:00 US/Eastern,HIMS_aggressive,SELL,11,29.9300,29.6700,50.04,0.0136,-0.0161,30.1072,29.8485,0.0000,bullish,0.0982,0.1496,2.860,0.876,482.97,TrailingStopHit(29.942),,29.942
20250402 14:43:00 US/Eastern,HOOD_aggressive,SELL,1,42.8600,42.5000,54.34,0.0596,0.0297,42.5834,42.7415,0.0000,bearish,0.1049,0.1565,0.360,0.847,525.83,TrailingStopHit(42.864),,42.864
20250402 14:56:00 US/Eastern,TLT_aggressive,SELL,4,91.1000,90.9400,73.56,0.0196,0.0060,91.4140,90.9935,0.0000,bullish,0.0288,0.1000,0.640,0.176,890.23,PartialTP 1 (1.5R @91.090),,
20250402 14:57:00 US/Eastern,TLT_aggressive,SELL,12,91.1200,90.9400,76.10,0.0252,0.0099,91.4138,91.0010,0.0000,bullish,0.0282,0.1000,2.160,0.198,1983.67,RSIOverbought(76.10>=70),,
20250402 14:58:00 US/Eastern,IBIT_aggressive,BUY,25,49.1000,49.1000,34.05,-0.0134,0.0042,49.1027,49.2295,0.0000,bullish,0.0452,0.1000,,,756.17,"Buy Init: RSI(34.05)<=OS(35), 15mOK, >VWAP",49.000,
20250402 14:58:00 US/Eastern,SCHD_aggressive,BUY,25,27.7500,27.7500,32.54,-0.0058,0.0013,27.7777,27.8020,0.0000,bullish,0.0183,0.1000,,,62.42,"Buy Init: RSI(32.54)<=OS(35), 15mOK, >VWAP",27.650,
20250402 15:07:00 US/Eastern,IBIT_aggressive,SELL,25,49.0900,49.1000,36.48,-0.0248,-0.0189,49.1030,49.1715,0.0000,bullish,0.0490,0.1000,-0.250,-0.020,1289.67,TrailingStopHit(49.091),,49.091
20250402 15:17:00 US/Eastern,HOOD_aggressive,BUY,25,42.2300,42.2300,34.45,-0.0912,-0.0779,42.5774,42.4145,0.0000,bearish,0.1057,0.1586,,,233.92,"Buy Init: RSI(34.45)<=OS(35), 15mOK, >VWAP",42.071,
20250402 15:21:00 US/Eastern,HOOD_aggressive,SELL,25,42.0500,42.2300,31.69,-0.1261,-0.1011,42.5726,42.3590,0.0000,bearish,0.1140,0.1586,-4.500,-0.426,1285.17,StopLossHit(42.071),42.071,
20250402 15:22:00 US/Eastern,HOOD_aggressive,BUY,25,42.0000,42.0000,29.97,-0.1356,-0.1080,42.5704,42.3370,0.0000,bearish,0.1166,0.1749,,,235.17,"Buy Init: RSI(29.97)<=OS(35), 15mOK, >VWAP",41.825,
20250402 15:25:00 US/Eastern,SCHD_aggressive,SELL,25,27.7700,27.7500,37.49,0.0003,0.0013,27.7784,27.7930,0.0000,bullish,0.0180,0.1000,0.500,0.072,929.42,TrailingStopHit(27.778),,27.778
20250402 15:27:00 US/Eastern,HOOD_aggressive,SELL,7,42.3100,42.0000,50.12,-0.0819,-0.1034,42.5668,42.2560,0.0000,bearish,0.1252,0.1749,2.170,0.738,1225.59,PartialTP 1 (1.5R @42.262),,
20250402 15:28:00 US/Eastern,HOOD_aggressive,SELL,7,42.4300,42.0000,55.30,-0.0591,-0.0946,42.5665,42.2545,0.0000,bearish,0.1263,0.1749,3.010,1.024,1522.60,PartialTP 2 (2.0R @42.350),,
