timestamp,symbol_profile,trade_type,shares,price,avg_cost_basis,rsi,macd_line,macd_signal,vwap,sma20,sma50,trend_15m,atr,risk_per_share,pnl,pnl_pct,cash_balance,reason,stop_price_triggered,trailing_stop_triggered
20250324 09:45:00 US/Eastern,BAC_moderate,BUY,20,43.0100,43.0100,34.27,0.0000,0.0000,42.9814,42.9719,0.0000,bullish,0.0930,0.2500,,,1139.80,"Buy Init: RSI(34.27)<=OS(35), 15mOK, >VWAP",42.760,
20250324 10:01:00 US/Eastern,BAC_moderate,SELL,20,42.9900,43.0100,33.82,0.0189,0.0265,43.0073,43.0570,0.0000,bullish,0.0604,0.2500,-0.400,-0.047,1999.60,TrailingStopHit(43.039),,43.039
20250324 11:39:00 US/Eastern,TQQQ_moderate,BUY,15,65.7800,65.7800,32.20,-0.0410,-0.0201,65.5737,65.9675,0.0000,bullish,0.0772,0.2500,,,1012.90,"Buy Init: RSI(32.20)<=OS(35), 15mOK, >VWAP",65.530,
20250324 12:05:00 US/Eastern,TQQQ_moderate,SELL,15,66.1100,65.7800,66.45,0.0429,0.0251,65.6015,65.9490,0.0000,bullish,0.0730,0.2500,4.950,0.502,2004.55,RSIOverbought(66.45>=65),,
20250324 12:26:00 US/Eastern,HYG_moderate,BUY,12,79.4600,79.4600,27.83,0.0016,0.0042,79.4416,79.4785,0.0000,bullish,0.0118,0.2500,,,1051.03,"Buy Init: RSI(27.83)<=OS(35), 15mOK, >VWAP",79.210,
20250324 12:29:00 US/Eastern,TQQQ_moderate,BUY,15,65.8400,65.8400,34.78,-0.0340,-0.0017,65.6473,66.0525,0.0000,bullish,0.1027,0.2500,,,63.43,"Buy Init: RSI(34.78)<=OS(35), 15mOK, >VWAP",65.590,
20250324 12:40:00 US/Eastern,HYG_moderate,SELL,12,79.4500,79.4600,31.63,-0.0019,-0.0016,79.4419,79.4655,0.0000,bullish,0.0129,0.2500,-0.120,-0.013,1016.83,TrailingStopHit(79.451),,79.451
20250324 12:40:00 US/Eastern,XLF_moderate,BUY,19,50.0400,50.0400,29.49,-0.0211,-0.0168,50.0174,50.0990,0.0000,bullish,0.0293,0.2500,,,66.07,"Buy Init: RSI(29.49)<=OS(35), 15mOK, >VWAP",49.790,
20250324 12:41:00 US/Eastern,TQQQ_moderate,SELL,15,65.7000,65.8400,33.41,-0.0580,-0.0458,65.6557,65.9125,0.0000,bullish,0.1015,0.2500,-2.100,-0.213,1051.57,TrailingStopHit(65.798),,65.798
20250324 12:41:00 US/Eastern,HYG_moderate,BUY,12,79.4500,79.4500,31.63,-0.0029,-0.0019,79.4419,79.4640,0.0000,bullish,0.0127,0.2500,,,98.17,"Buy Init: RSI(31.63)<=OS(35), 15mOK, >VWAP",79.200,
20250324 12:52:00 US/Eastern,XLF_moderate,SELL,19,50.0400,50.0400,38.37,-0.0175,-0.0183,50.0185,50.0595,0.0000,bullish,0.0262,0.2500,0.000,0.000,1048.93,TrailingStopHit(50.041),,50.041
20250324 13:09:00 US/Eastern,HYG_moderate,SELL,12,79.4500,79.4500,33.28,-0.0003,0.0011,79.4431,79.4685,0.0000,bullish,0.0119,0.2500,0.000,0.000,2002.33,TrailingStopHit(79.452),,79.452
20250324 13:10:00 US/Eastern,HYG_moderate,BUY,12,79.4500,79.4500,33.28,-0.0015,0.0006,79.4431,79.4675,0.0000,bullish,0.0118,0.2500,,,1048.93,"Buy Init: RSI(33.28)<=OS(35), 15mOK, >VWAP",79.200,
20250324 13:29:00 US/Eastern,HYG_moderate,SELL,12,79.4700,79.4500,69.93,-0.0012,-0.0033,79.4435,79.4500,0.0000,bullish,0.0129,0.2500,0.240,0.025,2002.57,RSIOverbought(69.93>=65),,
20250325 11:32:00 US/Eastern,TQQQ_moderate,BUY,14,67.0300,67.0300,33.46,-0.0224,-0.0021,66.7484,67.1895,0.0000,bullish,0.0825,0.2500,,,1064.15,"Buy Init: RSI(33.46)<=OS(35), 15mOK, >VWAP",66.780,
20250325 11:35:00 US/Eastern,XLF_moderate,BUY,19,50.3600,50.3600,34.97,-0.0079,-0.0050,50.3284,50.3880,0.0000,bullish,0.0233,0.2500,,,107.31,"Buy Init: RSI(34.97)<=OS(35), 15mOK, >VWAP",50.110,
20250325 11:45:00 US/Eastern,TQQQ_moderate,SELL,14,66.9500,67.0300,37.16,-0.0459,-0.0447,66.7625,67.0745,0.0000,bullish,0.0816,0.2500,-1.120,-0.119,1044.61,TrailingStopHit(66.958),,66.958
20250325 11:46:00 US/Eastern,XLF_moderate,SELL,19,50.3400,50.3600,36.67,-0.0088,-0.0084,50.3301,50.3710,0.0000,bullish,0.0216,0.2500,-0.380,-0.040,2001.07,TrailingStopHit(50.348),,50.348
20250325 11:54:00 US/Eastern,TQQQ_moderate,BUY,14,66.8600,66.8600,34.67,-0.0526,-0.0447,66.7705,66.9950,0.0000,bullish,0.0781,0.2500,,,1065.03,"Buy Init: RSI(34.67)<=OS(35), 15mOK, >VWAP",66.610,
