timestamp,symbol_profile,trade_type,shares,price,avg_cost_basis,rsi,macd_line,macd_signal,vwap,sma20,sma50,trend_15m,atr,risk_per_share,pnl,pnl_pct,cash_balance,reason,stop_price_triggered,trailing_stop_triggered
20250422 11:41:00 US/Eastern,IBIT_moderate,SELL,19,51.6600,51.7100,31.97,-0.0655,-0.0490,51.5531,51.8360,0.0000,bullish,0.0734,0.2500,-0.950,-0.097,1171.82,TrailingStopHit(51.680),,51.680
20250422 11:41:00 US/Eastern,TQQQ_moderate,BUY,20,44.5600,44.5600,28.87,-0.0716,-0.0381,44.3045,44.8230,0.0000,bullish,0.0885,0.2500,,,280.62,"Buy Init: RSI(28.87)<=OS(35), 15mOK, >VWAP",44.310,
20250422 11:41:00 US/Eastern,BITX_moderate,SELL,20,41.8200,41.9200,30.56,-0.0997,-0.0694,41.6887,42.1255,0.0000,bullish,0.1057,0.2500,-2.000,-0.239,1117.02,TrailingStopHit(41.901),,41.901
20250422 11:42:00 US/Eastern,IBIT_moderate,BUY,19,51.6200,51.6200,29.52,-0.0723,-0.0537,51.5534,51.8145,0.0000,bullish,0.0725,0.2500,,,136.24,"Buy Init: RSI(29.52)<=OS(35), 15mOK, >VWAP",51.370,
20250422 11:59:00 US/Eastern,TQQQ_moderate,SELL,20,45.0400,44.5600,70.83,0.0149,-0.0363,44.3433,44.5895,0.0000,bullish,0.1345,0.2500,9.600,1.077,1037.04,RSIOverbought(70.83>=65),,
20250422 12:00:00 US/Eastern,IBIT_moderate,SELL,19,51.9000,51.6200,65.56,0.0099,-0.0196,51.5659,51.7045,0.0000,bullish,0.0665,0.2500,5.320,0.542,2023.14,RSIOverbought(65.56>=65),,
20250422 13:11:00 US/Eastern,TQQQ_moderate,BUY,20,45.0700,45.0700,29.76,-0.0576,-0.0184,44.6721,45.5480,0.0000,bullish,0.1532,0.3064,,,1121.74,"Buy Init: RSI(29.76)<=OS(35), 15mOK, >VWAP",44.764,
20250422 13:11:00 US/Eastern,SCHD_moderate,BUY,20,25.3700,25.3700,31.10,-0.0105,-0.0061,25.3105,25.4375,0.0000,bullish,0.0269,0.2500,,,614.34,"Buy Init: RSI(31.10)<=OS(35), 15mOK, >VWAP",25.120,
20250422 13:18:00 US/Eastern,TQQQ_moderate,SELL,20,44.8400,45.0700,32.65,-0.2114,-0.1371,44.6822,45.3295,0.0000,bullish,0.1883,0.3064,-4.600,-0.510,1511.14,TrailingStopHit(44.957),,44.957
20250422 13:18:00 US/Eastern,SCHD_moderate,SELL,20,25.3200,25.3700,30.01,-0.0345,-0.0231,25.3066,25.4000,0.0000,bullish,0.0308,0.2500,-1.000,-0.197,2017.54,TrailingStopHit(25.334),,25.334
20250422 13:19:00 US/Eastern,TQQQ_moderate,BUY,20,44.8400,44.8400,32.65,-0.2139,-0.1524,44.6829,45.2950,0.0000,bullish,0.1813,0.3626,,,1120.74,"Buy Init: RSI(32.65)<=OS(35), 15mOK, >VWAP",44.477,
20250422 13:19:00 US/Eastern,SCHD_moderate,BUY,20,25.3200,25.3200,30.01,-0.0352,-0.0255,25.3066,25.3945,0.0000,bullish,0.0293,0.2500,,,614.34,"Buy Init: RSI(30.01)<=OS(35), 15mOK, >VWAP",25.070,
20250422 13:32:00 US/Eastern,TQQQ_moderate,SELL,20,44.3300,44.8400,34.09,-0.2794,-0.2759,44.6647,44.5565,0.0000,bullish,0.2185,0.3626,-10.200,-1.137,1500.94,StopLossHit(44.477),44.477,
20250422 14:07:00 US/Eastern,SCHD_moderate,SELL,20,25.2800,25.3200,66.95,0.0049,-0.0076,25.2999,25.2080,0.0000,bullish,0.0257,0.2500,-0.800,-0.158,2006.54,RSIOverbought(66.95>=65),,
20250422 15:14:00 US/Eastern,TQQQ_moderate,BUY,20,44.7500,44.7500,30.97,-0.0456,-0.0062,44.6525,45.0045,0.0000,bullish,0.0938,0.2500,,,1111.54,"Buy Init: RSI(30.97)<=OS(35), 15mOK, >VWAP",44.500,
20250422 15:18:00 US/Eastern,SCHD_moderate,BUY,20,25.3400,25.3400,31.38,-0.0045,0.0010,25.3065,25.3815,0.0000,bullish,0.0196,0.2500,,,604.74,"Buy Init: RSI(31.38)<=OS(35), 15mOK, >VWAP",25.090,
20250422 15:25:00 US/Eastern,TQQQ_moderate,SELL,20,44.4900,44.7500,36.05,-0.1550,-0.1300,44.6492,44.6690,0.0000,bullish,0.1033,0.2500,-5.200,-0.581,1494.54,StopLossHit(44.500),44.500,
20250422 15:36:00 US/Eastern,IBIT_moderate,BUY,19,52.0600,52.0600,30.66,-0.0095,0.0027,51.7466,52.1805,0.0000,bullish,0.0474,0.2500,,,505.40,"Buy Init: RSI(30.66)<=OS(35), 15mOK, >VWAP",51.810,
20250422 15:42:00 US/Eastern,SCHD_moderate,SELL,20,25.4000,25.3400,67.68,0.0025,-0.0014,25.3087,25.3580,0.0000,bullish,0.0215,0.2500,1.200,0.237,1013.40,RSIOverbought(67.68>=65),,
20250422 15:43:00 US/Eastern,BITX_moderate,BUY,20,42.2200,42.2200,30.04,-0.1113,-0.0698,41.9537,42.4885,0.0000,bullish,0.0854,0.2500,,,169.00,"Buy Init: RSI(30.04)<=OS(35), 15mOK, >VWAP",41.970,
20250422 15:59:00 US/Eastern,IBIT_moderate,SELL,19,52.0900,52.0600,55.00,-0.0017,-0.0181,51.7642,51.9980,0.0000,bullish,0.0595,0.2500,0.570,0.058,1158.71,EndOfDayExit,,
20250422 15:59:00 US/Eastern,BITX_moderate,SELL,20,42.5000,42.2200,56.78,-0.0016,-0.0264,41.9950,42.3375,0.0000,bullish,0.0831,0.2500,5.600,0.663,2008.71,EndOfDayExit,,
20250423 12:37:00 US/Eastern,PSQ_moderate,BUY,20,40.8400,40.8400,33.71,-0.0257,0.0000,40.5425,41.0065,0.0000,bullish,0.0414,0.2500,,,1191.91,"Buy Init: RSI(33.71)<=OS(35), 15mOK, >VWAP",40.590,
20250423 12:52:00 US/Eastern,PSQ_moderate,SELL,20,40.8800,40.8400,45.00,-0.0118,-0.0194,40.5493,40.8810,0.0000,bullish,0.0377,0.2500,0.800,0.098,2009.51,TrailingStopHit(40.893),,40.893
20250423 12:56:00 US/Eastern,PSQ_moderate,BUY,20,40.7800,40.7800,32.20,-0.0250,-0.0190,40.5506,40.8675,0.0000,bullish,0.0381,0.2500,,,1193.91,"Buy Init: RSI(32.20)<=OS(35), 15mOK, >VWAP",40.530,
20250423 13:03:00 US/Eastern,PSQ_moderate,SELL,20,40.7600,40.7800,37.24,-0.0360,-0.0322,40.5559,40.8425,0.0000,bullish,0.0487,0.2500,-0.400,-0.049,2009.11,TrailingStopHit(40.767),,40.767
20250423 13:07:00 US/Eastern,PSQ_moderate,BUY,20,40.7300,40.7300,34.51,-0.0409,-0.0363,40.5562,40.8190,0.0000,bullish,0.0426,0.2500,,,1194.51,"Buy Init: RSI(34.51)<=OS(35), 15mOK, >VWAP",40.480,
20250423 13:13:00 US/Eastern,UGL_moderate,BUY,20,35.0600,35.0600,31.07,-0.0230,-0.0005,34.9295,35.1945,0.0000,bullish,0.0296,0.2500,,,493.31,"Buy Init: RSI(31.07)<=OS(35), 15mOK, >VWAP",34.810,
20250423 13:16:00 US/Eastern,PSQ_moderate,SELL,20,40.6900,40.7300,31.70,-0.0371,-0.0382,40.5572,40.7470,0.0000,bullish,0.0315,0.2500,-0.800,-0.098,1307.11,TrailingStopHit(40.693),,40.693
20250423 13:17:00 US/Eastern,PSQ_moderate,BUY,20,40.6900,40.6900,31.70,-0.0377,-0.0381,40.5573,40.7440,0.0000,bullish,0.0300,0.2500,,,493.31,"Buy Init: RSI(31.70)<=OS(35), 15mOK, >VWAP",40.440,
20250423 13:25:00 US/Eastern,PSQ_moderate,SELL,20,40.6600,40.6900,35.54,-0.0339,-0.0364,40.5578,40.7035,0.0000,bullish,0.0292,0.2500,-0.600,-0.074,1306.51,TrailingStopHit(40.666),,40.666
20250423 13:40:00 US/Eastern,UGL_moderate,SELL,20,34.8100,35.0600,34.59,-0.0546,-0.0640,34.9277,34.8755,0.0000,bullish,0.0368,0.2500,-5.000,-0.713,2002.71,StopLossHit(34.810),34.810,
20250423 14:36:00 US/Eastern,IBIT_moderate,BUY,18,53.4000,53.4000,34.76,-0.0193,-0.0047,53.1302,53.5125,0.0000,bullish,0.0447,0.2500,,,1041.51,"Buy Init: RSI(34.76)<=OS(35), 15mOK, >VWAP",53.150,
20250423 14:36:00 US/Eastern,BITX_moderate,BUY,20,44.6100,44.6100,33.86,-0.0362,-0.0106,44.1401,44.7930,0.0000,bullish,0.0630,0.2500,,,149.31,"Buy Init: RSI(33.86)<=OS(35), 15mOK, >VWAP",44.360,
20250423 14:43:00 US/Eastern,IBIT_moderate,SELL,18,53.3600,53.4000,32.25,-0.0353,-0.0251,53.1323,53.4470,0.0000,bullish,0.0404,0.2500,-0.720,-0.075,1109.79,TrailingStopHit(53.369),,53.369
20250423 14:43:00 US/Eastern,BITX_moderate,SELL,20,44.5800,44.6100,34.80,-0.0512,-0.0396,44.1441,44.6910,0.0000,bullish,0.0557,0.2500,-0.600,-0.067,2001.39,TrailingStopHit(44.586),,44.586
20250423 14:44:00 US/Eastern,IBIT_moderate,BUY,18,53.3300,53.3300,28.88,-0.0394,-0.0280,53.1324,53.4370,0.0000,bullish,0.0411,0.2500,,,1041.45,"Buy Init: RSI(28.88)<=OS(35), 15mOK, >VWAP",53.080,
20250423 14:44:00 US/Eastern,BITX_moderate,BUY,20,44.5200,44.5200,30.24,-0.0576,-0.0432,44.1443,44.6765,0.0000,bullish,0.0567,0.2500,,,151.05,"Buy Init: RSI(30.24)<=OS(35), 15mOK, >VWAP",44.270,
20250423 14:50:00 US/Eastern,IBIT_moderate,SELL,18,53.3000,53.3300,33.27,-0.0433,-0.0390,53.1337,53.3925,0.0000,bullish,0.0412,0.2500,-0.540,-0.056,1110.45,TrailingStopHit(53.308),,53.308
20250423 14:50:00 US/Eastern,BITX_moderate,SELL,20,44.4700,44.5200,33.22,-0.0624,-0.0569,44.1469,44.6110,0.0000,bullish,0.0592,0.2500,-1.000,-0.112,1999.85,TrailingStopHit(44.511),,44.511
20250423 14:51:00 US/Eastern,IBIT_moderate,BUY,18,53.2800,53.2800,31.24,-0.0463,-0.0405,53.1337,53.3825,0.0000,bullish,0.0404,0.2500,,,1040.81,"Buy Init: RSI(31.24)<=OS(35), 15mOK, >VWAP",53.030,
20250423 14:51:00 US/Eastern,BITX_moderate,BUY,20,44.4500,44.4500,31.90,-0.0670,-0.0589,44.1471,44.5970,0.0000,bullish,0.0579,0.2500,,,151.81,"Buy Init: RSI(31.90)<=OS(35), 15mOK, >VWAP",44.200,
20250423 14:59:00 US/Eastern,IBIT_moderate,SELL,18,53.2700,53.2800,35.06,-0.0348,-0.0370,53.1347,53.3335,0.0000,bullish,0.0407,0.2500,-0.180,-0.019,1110.67,TrailingStopHit(53.299),,53.299
20250423 14:59:00 US/Eastern,BITX_moderate,SELL,20,44.4500,44.4500,36.83,-0.0507,-0.0548,44.1506,44.5295,0.0000,bullish,0.0547,0.2500,0.000,0.000,1999.67,TrailingStopHit(44.488),,44.488
20250423 15:01:00 US/Eastern,IBIT_moderate,BUY,18,53.2600,53.2600,33.84,-0.0380,-0.0371,53.1351,53.3205,0.0000,bullish,0.0399,0.2500,,,1040.99,"Buy Init: RSI(33.84)<=OS(35), 15mOK, >VWAP",53.010,
20250423 15:01:00 US/Eastern,BITX_moderate,BUY,20,44.4200,44.4200,34.42,-0.0558,-0.0548,44.1517,44.5100,0.0000,bullish,0.0554,0.2500,,,152.59,"Buy Init: RSI(34.42)<=OS(35), 15mOK, >VWAP",44.170,
20250423 15:16:00 US/Eastern,BITX_moderate,SELL,20,44.1700,44.4200,34.52,-0.0972,-0.0904,44.1549,44.3005,0.0000,bullish,0.0711,0.2500,-5.000,-0.563,1035.99,StopLossHit(44.170),44.170,
20250423 15:31:00 US/Eastern,IBIT_moderate,SELL,18,52.9900,53.2600,41.91,-0.0717,-0.0751,53.1324,53.0140,0.0000,bullish,0.0540,0.2500,-4.860,-0.507,1989.81,StopLossHit(53.010),53.010,
20250424 09:43:00 US/Eastern,SCHD_moderate,BUY,20,25.4300,25.4300,24.77,0.0000,0.0000,25.4133,25.4050,0.0000,bullish,0.0603,0.2500,,,1481.21,"Buy Init: RSI(24.77)<=OS(35), 15mOK, >VWAP",25.180,
20250424 10:10:00 US/Eastern,SCHD_moderate,SELL,20,25.4400,25.4300,39.61,0.0028,0.0069,25.4341,25.4690,0.0000,bullish,0.0303,0.2500,0.200,0.039,1990.01,TrailingStopHit(25.445),,25.445
20250424 11:17:00 US/Eastern,UGL_moderate,BUY,20,35.6400,35.6400,33.67,-0.0059,0.0033,35.6364,35.7455,0.0000,bullish,0.0275,0.2500,,,1277.21,"Buy Init: RSI(33.67)<=OS(35), 15mOK, >VWAP",35.390,
20250424 11:23:00 US/Eastern,HOOD_moderate,BUY,20,47.5800,47.5800,33.85,-0.0440,0.0067,47.2131,47.9430,0.0000,bullish,0.1220,0.2500,,,325.61,"Buy Init: RSI(33.85)<=OS(35), 15mOK, >VWAP",47.330,
20250424 11:30:00 US/Eastern,HOOD_moderate,SELL,20,47.4300,47.5800,33.37,-0.1129,-0.0741,47.2262,47.7645,0.0000,bullish,0.1283,0.2500,-3.000,-0.315,1274.21,TrailingStopHit(47.458),,47.458
20250424 11:31:00 US/Eastern,HOOD_moderate,BUY,20,47.3700,47.3700,31.27,-0.1238,-0.0840,47.2266,47.7290,0.0000,bullish,0.1263,0.2525,,,326.81,"Buy Init: RSI(31.27)<=OS(35), 15mOK, >VWAP",47.117,
20250424 11:32:00 US/Eastern,UGL_moderate,SELL,20,35.7900,35.6400,66.65,0.0063,-0.0051,35.6398,35.7065,0.0000,bullish,0.0209,0.2500,3.000,0.421,1042.61,RSIOverbought(66.65>=65),,
20250424 11:43:00 US/Eastern,HOOD_moderate,SELL,10,47.8800,47.3700,61.24,0.0064,-0.0404,47.2478,47.5970,0.0000,bullish,0.1279,0.2525,5.100,1.077,1521.41,PartialTP 1 (2.0R @47.875),,
20250424 11:48:00 US/Eastern,UGL_moderate,BUY,20,35.6800,35.6800,33.31,-0.0056,0.0053,35.6542,35.7555,0.0000,bullish,0.0170,0.2500,,,807.81,"Buy Init: RSI(33.31)<=OS(35), 15mOK, >VWAP",35.430,
20250424 11:54:00 US/Eastern,UGL_moderate,SELL,20,35.8300,35.6800,66.55,0.0139,0.0060,35.6561,35.7625,0.0000,bullish,0.0244,0.2500,3.000,0.420,1524.41,RSIOverbought(66.55>=65),,
20250424 11:56:00 US/Eastern,HOOD_moderate,SELL,10,47.7800,47.3700,47.46,0.0560,0.0535,47.2655,47.8370,0.0000,bullish,0.1114,0.2525,4.100,0.866,2002.21,TrailingStopHit(47.833),,47.833
20250424 12:27:00 US/Eastern,HOOD_moderate,BUY,20,47.3900,47.3900,33.86,-0.0477,-0.0305,47.2854,47.6005,0.0000,bullish,0.0975,0.2500,,,1054.41,"Buy Init: RSI(33.86)<=OS(35), 15mOK, >VWAP",47.140,
20250424 12:30:00 US/Eastern,UGL_moderate,BUY,20,35.8200,35.8200,32.73,0.0018,0.0169,35.6721,35.9210,0.0000,bullish,0.0211,0.2500,,,338.01,"Buy Init: RSI(32.73)<=OS(35), 15mOK, >VWAP",35.570,
20250424 12:36:00 US/Eastern,UGL_moderate,SELL,20,35.7900,35.8200,30.68,-0.0179,-0.0042,35.6732,35.8890,0.0000,bullish,0.0202,0.2500,-0.600,-0.084,1053.81,TrailingStopHit(35.820),,35.820
20250424 12:37:00 US/Eastern,UGL_moderate,BUY,20,35.7900,35.7900,30.68,-0.0217,-0.0077,35.6732,35.8830,0.0000,bullish,0.0188,0.2500,,,338.01,"Buy Init: RSI(30.68)<=OS(35), 15mOK, >VWAP",35.540,
20250424 12:47:00 US/Eastern,UGL_moderate,SELL,20,35.8000,35.7900,44.34,-0.0176,-0.0218,35.6768,35.8175,0.0000,bullish,0.0300,0.2500,0.200,0.028,1054.01,TrailingStopHit(35.805),,35.805
20250424 12:51:00 US/Eastern,HOOD_moderate,SELL,10,47.8900,47.3900,66.40,0.0576,0.0264,47.3104,47.6180,0.0000,bullish,0.1112,0.2500,5.000,1.055,1532.91,PartialTP 1 (2.0R @47.890),,
20250424 12:52:00 US/Eastern,HOOD_moderate,SELL,10,47.9500,47.3900,68.85,0.0734,0.0358,47.3160,47.6400,0.0000,bullish,0.1126,0.2500,5.600,1.182,2012.41,RSIOverbought(68.85>=65),,
20250424 12:59:00 US/Eastern,IBIT_moderate,BUY,18,53.1200,53.1200,33.24,-0.0102,0.0000,52.9684,53.2125,0.0000,bullish,0.0364,0.2500,,,1056.25,"Buy Init: RSI(33.24)<=OS(35), 15mOK, >VWAP",52.870,
20250424 12:59:00 US/Eastern,BITX_moderate,BUY,20,44.2000,44.2000,34.28,-0.0160,0.0004,43.9795,44.3575,0.0000,bullish,0.0543,0.2500,,,172.25,"Buy Init: RSI(34.28)<=OS(35), 15mOK, >VWAP",43.950,
20250424 13:06:00 US/Eastern,IBIT_moderate,SELL,18,53.0800,53.1200,35.89,-0.0258,-0.0193,52.9717,53.1690,0.0000,bullish,0.0395,0.2500,-0.720,-0.075,1127.69,TrailingStopHit(53.101),,53.101
