timestamp,symbol_profile,trade_type,shares,price,avg_cost_basis,rsi,macd_line,macd_signal,vwap,sma20,sma50,trend_15m,atr,risk_per_share,pnl,pnl_pct,cash_balance,reason,stop_price_triggered,trailing_stop_triggered
20250324 09:43:00 US/Eastern,BAC_aggressive,BUY,25,42.9800,42.9800,29.19,0.0000,0.0000,42.9819,42.9729,0.0000,bullish,0.0893,0.1340,,,925.50,"Buy Init: RSI(29.19)<=OS(35), 15mOK, >VWAP",42.846,
20250324 09:49:00 US/Eastern,SQQQ_aggressive,BUY,25,34.4300,34.4300,34.30,0.0000,0.0000,34.6990,34.6795,0.0000,bearish,0.1178,0.1767,,,64.75,"Buy Init: RSI(34.30)<=OS(35), 15mOK, >VWAP",34.253,
20250324 10:00:00 US/Eastern,BAC_aggressive,SELL,25,43.0500,42.9800,38.37,0.0286,0.0284,43.0077,43.0620,0.0000,bullish,0.0574,0.1340,1.750,0.163,1141.00,TrailingStopHit(43.061),,43.061
20250324 10:01:00 US/Eastern,BAC_aggressive,BUY,25,42.9900,42.9900,33.82,0.0189,0.0265,43.0073,43.0570,0.0000,bullish,0.0604,0.1000,,,66.25,"Buy Init: RSI(33.82)<=OS(35), 15mOK, >VWAP",42.890,
20250324 10:12:00 US/Eastern,SQQQ_aggressive,SELL,25,34.4800,34.4300,48.81,-0.0063,-0.0300,34.5988,34.4430,0.0000,bearish,0.0963,0.1767,1.250,0.145,928.25,TrailingStopHit(34.504),,34.504
20250324 10:12:00 US/Eastern,BAC_aggressive,SELL,25,43.0300,42.9900,42.35,0.0057,0.0092,43.0129,43.0710,0.0000,bullish,0.0562,0.1000,1.000,0.093,2004.00,TrailingStopHit(43.033),,43.033
20250324 10:24:00 US/Eastern,SQQQ_aggressive,BUY,25,34.2600,34.2600,33.49,-0.0566,-0.0440,34.5537,34.4165,0.0000,bearish,0.0779,0.1168,,,1147.50,"Buy Init: RSI(33.49)<=OS(35), 15mOK, >VWAP",34.143,
20250324 10:43:00 US/Eastern,SQQQ_aggressive,SELL,25,34.3000,34.2600,43.17,-0.0123,-0.0179,34.5196,34.3220,0.0000,bearish,0.0721,0.1168,1.000,0.117,2005.00,TrailingStopHit(34.314),,34.314
20250324 10:45:00 US/Eastern,BAC_aggressive,BUY,25,42.9300,42.9300,33.10,-0.0301,-0.0205,43.0241,43.0280,0.0000,bullish,0.0429,0.1000,,,931.75,"Buy Init: RSI(33.10)<=OS(35), 15mOK, >VWAP",42.830,
20250324 10:51:00 US/Eastern,SOXS_aggressive,BUY,25,22.5400,22.5400,32.47,-0.0354,-0.0259,22.8751,22.6760,0.0000,bullish,0.0608,0.1000,,,368.25,"Buy Init: RSI(32.47)<=OS(35), 15mOK, >VWAP",22.440,
