timestamp,symbol_profile,trade_type,shares,price,avg_cost_basis,rsi,macd_line,macd_signal,vwap,sma20,sma50,trend_15m,atr,risk_per_share,pnl,pnl_pct,cash_balance,reason,stop_price_triggered,trailing_stop_triggered
20250324 09:43:00 US/Eastern,HYG_conservative,BUY,6,79.4400,79.4400,36.16,0.0000,0.0000,79.4208,79.4100,0.0000,bullish,0.0468,0.2500,,,1523.36,"Buy Init: RSI(36.16)<=OS(40), 15mOK, >VWAP",79.190,
20250324 09:45:00 US/Eastern,BAC_conservative,BUY,10,43.0100,43.0100,34.27,0.0000,0.0000,42.9814,42.9719,0.0000,bullish,0.0930,0.2500,,,1093.26,"Buy Init: RSI(34.27)<=OS(40), 15mOK, >VWAP",42.760,
20250324 09:49:00 US/Eastern,FXI_conservative,BUY,10,36.7900,36.7900,39.09,0.0000,0.0000,36.7837,36.7830,0.0000,bullish,0.0538,0.2500,,,725.36,"Buy Init: RSI(39.09)<=OS(40), 15mOK, >VWAP",36.540,
20250324 10:21:00 US/Eastern,HYG_conservative,SELL,6,79.4500,79.4400,65.23,0.0045,0.0020,79.4211,79.4230,0.0000,bullish,0.0161,0.2500,0.060,0.013,1202.06,RSIOverbought(65.23>=65),,
20250324 10:25:00 US/Eastern,FXI_conservative,SELL,10,36.9100,36.7900,68.36,0.0162,0.0114,36.8004,36.8450,0.0000,bullish,0.0318,0.2500,1.200,0.326,1571.16,RSIOverbought(68.36>=65),,
20250324 11:02:00 US/Eastern,PLTR_conservative,BUY,5,95.7200,95.7200,36.27,0.0001,0.1447,95.0173,96.5345,0.0000,bullish,0.2734,0.2734,,,1092.56,"Buy Init: RSI(36.27)<=OS(40), 15mOK, >VWAP",95.447,
20250324 11:15:00 US/Eastern,HYG_conservative,BUY,6,79.4500,79.4500,38.17,0.0012,0.0042,79.4386,79.4710,0.0000,bullish,0.0142,0.2500,,,615.86,"Buy Init: RSI(38.17)<=OS(40), 15mOK, >VWAP",79.200,
20250324 11:30:00 US/Eastern,PLTR_conservative,SELL,5,95.4200,95.7200,37.49,-0.1093,-0.0914,95.1179,95.7060,0.0000,bullish,0.2326,0.2734,-1.500,-0.313,1092.96,StopLossHit(95.447),95.447,
20250324 11:31:00 US/Eastern,TQQQ_conservative,BUY,7,65.8900,65.8900,36.66,-0.0137,0.0091,65.5645,66.0355,0.0000,bullish,0.0775,0.2500,,,631.73,"Buy Init: RSI(36.66)<=OS(40), 15mOK, >VWAP",65.640,
20250324 11:31:00 US/Eastern,PLTR_conservative,BUY,5,95.3500,95.3500,35.64,-0.1246,-0.0980,95.1189,95.6860,0.0000,bullish,0.2302,0.2500,,,154.98,"Buy Init: RSI(35.64)<=OS(40), 15mOK, >VWAP",95.100,
20250324 11:52:00 US/Eastern,PLTR_conservative,SELL,2,95.9200,95.3500,60.01,0.0111,-0.0199,95.1500,95.6610,0.0000,bullish,0.1786,0.2500,1.140,0.598,346.82,PartialTP 1 (2.0R @95.850),,
20250324 11:55:00 US/Eastern,PLTR_conservative,SELL,1,96.1300,95.3500,64.79,0.0805,0.0203,95.1613,95.7270,0.0000,bullish,0.1764,0.2500,0.780,0.818,442.95,PartialTP 2 (3.0R @96.100),,
20250324 12:05:00 US/Eastern,TQQQ_conservative,SELL,7,66.1100,65.8900,66.45,0.0429,0.0251,65.6015,65.9490,0.0000,bullish,0.0730,0.2500,1.540,0.334,905.72,RSIOverbought(66.45>=65),,
20250324 12:06:00 US/Eastern,HYG_conservative,SELL,6,79.4800,79.4500,68.58,0.0063,0.0043,79.4400,79.4595,0.0000,bullish,0.0118,0.2500,0.180,0.038,1382.60,RSIOverbought(68.58>=65),,
20250324 12:17:00 US/Eastern,XLF_conservative,BUY,9,50.1200,50.1200,36.37,0.0007,0.0064,50.0057,50.1610,0.0000,bullish,0.0228,0.2500,,,931.52,"Buy Init: RSI(36.37)<=OS(40), 15mOK, >VWAP",49.870,
20250324 12:26:00 US/Eastern,TQQQ_conservative,BUY,7,65.8800,65.8800,35.78,-0.0033,0.0202,65.6425,66.0970,0.0000,bullish,0.0930,0.2500,,,470.36,"Buy Init: RSI(35.78)<=OS(40), 15mOK, >VWAP",65.630,
20250324 13:06:00 US/Eastern,BAC_conservative,SELL,10,42.9000,43.0100,68.14,0.0071,-0.0007,42.9746,42.8375,0.0000,bullish,0.0276,0.2500,-1.100,-0.256,899.36,RSIOverbought(68.14>=65),,
20250324 13:09:00 US/Eastern,HYG_conservative,BUY,6,79.4500,79.4500,33.28,-0.0003,0.0011,79.4431,79.4685,0.0000,bullish,0.0119,0.2500,,,422.66,"Buy Init: RSI(33.28)<=OS(40), 15mOK, >VWAP",79.200,
20250324 13:20:00 US/Eastern,TQQQ_conservative,SELL,7,65.6300,65.8800,35.53,-0.0568,-0.0489,65.6682,65.7600,0.0000,bullish,0.0824,0.2500,-1.750,-0.379,882.07,StopLossHit(65.630),65.630,
20250324 13:29:00 US/Eastern,HYG_conservative,SELL,6,79.4700,79.4500,69.93,-0.0012,-0.0033,79.4435,79.4500,0.0000,bullish,0.0129,0.2500,0.120,0.025,1358.89,RSIOverbought(69.93>=65),,
20250324 13:30:00 US/Eastern,XLF_conservative,SELL,9,50.0300,50.1200,67.68,-0.0013,-0.0084,50.0167,49.9770,0.0000,bullish,0.0213,0.2500,-0.810,-0.180,1809.16,RSIOverbought(67.68>=65),,
20250324 13:43:00 US/Eastern,HYG_conservative,BUY,6,79.4500,79.4500,37.43,0.0009,0.0024,79.4438,79.4625,0.0000,bullish,0.0117,0.2500,,,1332.46,"Buy Init: RSI(37.43)<=OS(40), 15mOK, >VWAP",79.200,
20250324 14:05:00 US/Eastern,PLTR_conservative,SELL,2,95.9600,95.3500,65.34,0.0262,0.0005,95.2701,95.6430,0.0000,bullish,0.1409,0.2500,1.220,0.640,1524.38,RSIOverbought(65.34>=65),,
20250324 14:14:00 US/Eastern,PLTR_conservative,BUY,5,95.3500,95.3500,38.43,-0.0348,-0.0038,95.2758,95.5875,0.0000,bullish,0.1436,0.2500,,,1047.63,"Buy Init: RSI(38.43)<=OS(40), 15mOK, >VWAP",95.100,
20250324 14:26:00 US/Eastern,PLTR_conservative,SELL,2,95.8700,95.3500,60.68,0.0562,0.0297,95.2829,95.6485,0.0000,bullish,0.1328,0.2500,1.040,0.545,1239.37,PartialTP 1 (2.0R @95.850),,
20250324 14:39:00 US/Eastern,PLTR_conservative,SELL,3,96.0500,95.3500,65.13,0.0725,0.0634,95.2949,95.8575,0.0000,bullish,0.1236,0.2500,2.100,0.734,1527.52,RSIOverbought(65.13>=65),,
20250324 14:43:00 US/Eastern,HYG_conservative,SELL,6,79.4600,79.4500,73.00,0.0027,0.0015,79.4433,79.4470,0.0000,bullish,0.0118,0.2500,0.060,0.013,2004.28,RSIOverbought(73.00>=65),,
20250324 15:59:00 US/Eastern,XLF_conservative,BUY,9,50.1300,50.1300,38.21,0.0024,0.0126,50.0686,50.2115,0.0000,bullish,0.0366,0.2500,,,1553.11,"Buy Init: RSI(38.21)<=OS(40), 15mOK, >VWAP",49.880,
20250324 15:59:00 US/Eastern,BAC_conservative,BUY,10,43.0300,43.0300,38.42,0.0006,0.0080,42.9653,43.0955,0.0000,bullish,0.0341,0.2500,,,1122.81,"Buy Init: RSI(38.42)<=OS(40), 15mOK, >VWAP",42.780,
20250324 15:59:00 US/Eastern,XLF_conservative,SELL,9,50.1300,50.1300,38.21,0.0024,0.0126,50.0686,50.2115,0.0000,bullish,0.0366,0.2500,0.000,0.000,1573.98,EndOfDayExit,,
20250324 15:59:00 US/Eastern,BAC_conservative,SELL,10,43.0300,43.0300,38.42,0.0006,0.0080,42.9653,43.0955,0.0000,bullish,0.0341,0.2500,0.000,0.000,2004.28,EndOfDayExit,,
20250325 10:59:00 US/Eastern,XLF_conservative,BUY,9,50.3700,50.3700,38.05,-0.0102,-0.0008,50.3087,50.4225,0.0000,bullish,0.0305,0.2500,,,1550.95,"Buy Init: RSI(38.05)<=OS(40), 15mOK, >VWAP",50.120,
20250325 11:31:00 US/Eastern,TQQQ_conservative,BUY,7,67.0900,67.0900,37.90,-0.0104,0.0030,66.7462,67.1985,0.0000,bullish,0.0812,0.2500,,,1081.32,"Buy Init: RSI(37.90)<=OS(40), 15mOK, >VWAP",66.840,
20250325 11:57:00 US/Eastern,TQQQ_conservative,SELL,7,66.8400,67.0900,35.20,-0.0626,-0.0518,66.7718,66.9750,0.0000,bullish,0.0812,0.2500,-1.750,-0.373,1549.20,StopLossHit(66.840),66.840,
20250325 11:58:00 US/Eastern,TQQQ_conservative,BUY,7,66.8200,66.8200,33.88,-0.0664,-0.0547,66.7720,66.9630,0.0000,bullish,0.0818,0.2500,,,1081.46,"Buy Init: RSI(33.88)<=OS(40), 15mOK, >VWAP",66.570,
20250325 12:31:00 US/Eastern,NVDA_conservative,BUY,4,120.5400,120.5400,37.14,0.0052,0.0416,120.0215,120.7525,0.0000,bullish,0.1169,0.2500,,,599.30,"Buy Init: RSI(37.14)<=OS(40), 15mOK, >VWAP",120.290,
20250325 12:47:00 US/Eastern,NVDA_conservative,SELL,4,120.9800,120.5400,66.68,0.0590,0.0306,120.0492,120.7300,0.0000,bullish,0.1031,0.2500,1.760,0.365,1083.22,RSIOverbought(66.68>=65),,
20250325 12:54:00 US/Eastern,TQQQ_conservative,SELL,7,67.0300,66.8200,67.40,0.0489,0.0250,66.7825,66.8405,0.0000,bullish,0.0693,0.2500,1.470,0.314,1552.43,RSIOverbought(67.40>=65),,
20250325 13:02:00 US/Eastern,XLF_conservative,SELL,9,50.3600,50.3700,67.61,0.0136,0.0109,50.3176,50.3235,0.0000,bullish,0.0193,0.2500,-0.090,-0.020,2005.67,RSIOverbought(67.61>=65),,
20250325 13:17:00 US/Eastern,TQQQ_conservative,BUY,7,66.9100,66.9100,38.59,0.0174,0.0478,66.8017,67.0755,0.0000,bullish,0.0680,0.2500,,,1537.30,"Buy Init: RSI(38.59)<=OS(40), 15mOK, >VWAP",66.660,
20250325 13:19:00 US/Eastern,NVDA_conservative,BUY,4,120.7900,120.7900,38.29,-0.0250,0.0027,120.1119,120.9485,0.0000,bullish,0.0908,0.2500,,,1054.14,"Buy Init: RSI(38.29)<=OS(40), 15mOK, >VWAP",120.540,
20250325 13:31:00 US/Eastern,NVDA_conservative,SELL,4,120.4600,120.7900,36.31,-0.1389,-0.1004,120.1259,120.6940,0.0000,bullish,0.1197,0.2500,-1.320,-0.273,1535.98,StopLossHit(120.540),120.540,
20250325 13:32:00 US/Eastern,NVDA_conservative,BUY,4,120.5100,120.5100,39.84,-0.1317,-0.1066,120.1273,120.6730,0.0000,bullish,0.1190,0.2500,,,1053.94,"Buy Init: RSI(39.84)<=OS(40), 15mOK, >VWAP",120.260,
20250325 13:34:00 US/Eastern,TQQQ_conservative,SELL,7,66.6500,66.9100,36.71,-0.0993,-0.0903,66.7967,66.7570,0.0000,bullish,0.0814,0.2500,-1.820,-0.389,1520.49,StopLossHit(66.660),66.660,
20250325 14:18:00 US/Eastern,NVDA_conservative,SELL,4,120.9400,120.5100,67.79,0.0674,0.0480,120.1703,120.7045,0.0000,bullish,0.0974,0.2500,1.720,0.357,2004.25,RSIOverbought(67.79>=65),,
20250325 14:20:00 US/Eastern,SOXS_conservative,BUY,10,22.9700,22.9700,38.76,-0.0011,0.0107,22.7750,23.0490,0.0000,bullish,0.0306,0.2500,,,1774.55,"Buy Init: RSI(38.76)<=OS(40), 15mOK, >VWAP",22.720,
20250325 14:52:00 US/Eastern,NVDA_conservative,BUY,4,120.6000,120.6000,39.95,-0.0303,-0.0176,120.2034,120.7425,0.0000,bullish,0.0959,0.2500,,,1292.15,"Buy Init: RSI(39.95)<=OS(40), 15mOK, >VWAP",120.350,
20250325 15:35:00 US/Eastern,NVDA_conservative,SELL,2,121.2100,120.6000,72.19,0.0472,0.0188,120.2570,120.8560,0.0000,bullish,0.1035,0.2500,1.220,0.506,1534.57,PartialTP 1 (2.0R @121.100),,
20250325 15:59:00 US/Eastern,SOXS_conservative,SELL,10,22.9200,22.9700,52.29,0.0037,-0.0106,22.8158,22.8835,0.0000,bullish,0.0564,0.2500,-0.500,-0.218,1763.77,EndOfDayExit,,
20250325 15:59:00 US/Eastern,NVDA_conservative,SELL,2,120.6500,120.6000,39.66,-0.0575,-0.0331,120.2960,120.8085,0.0000,bullish,0.1263,0.2500,0.100,0.041,2005.07,EndOfDayExit,,
20250326 10:52:00 US/Eastern,SQQQ_conservative,BUY,10,33.9400,33.9400,39.80,0.0116,0.0252,33.7597,34.0355,0.0000,bullish,0.0673,0.2500,,,1665.67,"Buy Init: RSI(39.80)<=OS(40), 15mOK, >VWAP",33.690,
20250326 11:25:00 US/Eastern,SQQQ_conservative,SELL,10,34.0500,33.9400,65.48,0.0070,-0.0120,33.7872,33.9130,0.0000,bullish,0.0608,0.2500,1.100,0.324,2006.17,RSIOverbought(65.48>=65),,
20250326 12:30:00 US/Eastern,SQQQ_conservative,BUY,10,34.3400,34.3400,35.29,-0.0023,0.0248,33.9522,34.4940,0.0000,bullish,0.0583,0.2500,,,1662.77,"Buy Init: RSI(35.29)<=OS(40), 15mOK, >VWAP",34.090,
20250326 12:54:00 US/Eastern,SQQQ_conservative,SELL,10,34.6500,34.3400,66.23,0.0371,0.0215,33.9834,34.5010,0.0000,bullish,0.0584,0.2500,3.100,0.903,2009.27,RSIOverbought(66.23>=65),,
20250326 14:12:00 US/Eastern,SQQQ_conservative,BUY,10,34.8200,34.8200,39.60,-0.0089,0.0125,34.1755,34.9440,0.0000,bullish,0.0621,0.2500,,,1661.07,"Buy Init: RSI(39.60)<=OS(40), 15mOK, >VWAP",34.570,
20250326 14:44:00 US/Eastern,SQQQ_conservative,SELL,10,34.9800,34.8200,67.00,0.0363,0.0133,34.2159,34.8230,0.0000,bullish,0.0532,0.2500,1.600,0.460,2010.87,RSIOverbought(67.00>=65),,
20250326 15:19:00 US/Eastern,SQQQ_conservative,BUY,10,34.9700,34.9700,38.86,-0.0026,0.0191,34.2836,35.0815,0.0000,bullish,0.0561,0.2500,,,1661.17,"Buy Init: RSI(38.86)<=OS(40), 15mOK, >VWAP",34.720,
20250326 15:59:00 US/Eastern,SQQQ_conservative,SELL,10,34.8600,34.9700,46.12,-0.0487,-0.0507,34.3507,34.8750,0.0000,bullish,0.0671,0.2500,-1.100,-0.315,2009.77,EndOfDayExit,,
20250327 09:43:00 US/Eastern,TLT_conservative,BUY,5,88.9400,88.9400,31.79,0.0000,0.0000,88.9007,88.8993,0.0000,bullish,0.0548,0.2500,,,1565.07,"Buy Init: RSI(31.79)<=OS(40), 15mOK, >VWAP",88.690,
20250327 11:07:00 US/Eastern,TLT_conservative,SELL,5,88.6800,88.9400,38.75,-0.0410,-0.0430,88.8565,88.7065,0.0000,bullish,0.0353,0.2500,-1.300,-0.292,2008.47,StopLossHit(88.690),88.690,
20250327 12:17:00 US/Eastern,SOXS_conservative,BUY,10,26.2400,26.2400,37.63,-0.0124,0.0161,26.0912,26.4155,0.0000,bullish,0.0690,0.2500,,,1746.07,"Buy Init: RSI(37.63)<=OS(40), 15mOK, >VWAP",25.990,
20250327 12:49:00 US/Eastern,SOXS_conservative,SELL,10,26.5300,26.2400,65.38,0.0357,0.0229,26.1101,26.4005,0.0000,bullish,0.0595,0.2500,2.900,1.105,2011.37,RSIOverbought(65.38>=65),,
20250327 13:14:00 US/Eastern,SQQQ_conservative,BUY,10,35.1200,35.1200,38.85,0.0014,0.0316,35.0712,35.2820,0.0000,bullish,0.0704,0.2500,,,1660.17,"Buy Init: RSI(38.85)<=OS(40), 15mOK, >VWAP",34.870,
