timestamp,symbol_profile,trade_type,shares,price,avg_cost_basis,rsi,macd_line,macd_signal,vwap,sma20,sma50,trend_15m,atr,risk_per_share,pnl,pnl_pct,cash_balance,reason,stop_price_triggered,trailing_stop_triggered
20250325 11:31:00 US/Eastern,TQQQ_conservative,BUY,7,67.0900,67.0900,37.90,-0.0104,0.0030,66.7462,67.1985,0.0000,bullish,0.0812,0.2500,,,864.79,"Buy Init: RSI(37.90)<=OS(40), 15mOK, >VWAP",66.840,
20250325 11:33:00 US/Eastern,BITX_conservative,BUY,10,41.0700,41.0700,37.13,-0.0223,-0.0099,40.9103,41.2070,0.0000,bullish,0.0728,0.2500,,,454.09,"Buy Init: RSI(37.13)<=OS(40), 15mOK, >VWAP",40.820,
20250325 11:43:00 US/Eastern,CONL_conservative,SELL,10,19.9100,19.7500,65.48,0.0299,-0.0071,19.3751,19.6965,0.0000,bullish,0.0734,0.2500,1.600,0.810,653.19,RSIOverbought(65.48>=65),,
20250325 11:53:00 US/Eastern,CONL_conservative,BUY,10,19.6200,19.6200,37.68,0.0022,0.0212,19.3790,19.7750,0.0000,bullish,0.0673,0.2500,,,456.99,"Buy Init: RSI(37.68)<=OS(40), 15mOK, >VWAP",19.370,
20250325 11:57:00 US/Eastern,TQQQ_conservative,SELL,7,66.8400,67.0900,35.20,-0.0626,-0.0518,66.7718,66.9750,0.0000,bullish,0.0812,0.2500,-1.750,-0.373,924.87,StopLossHit(66.840),66.840,
20250325 11:58:00 US/Eastern,TQQQ_conservative,BUY,7,66.8200,66.8200,33.88,-0.0664,-0.0547,66.7720,66.9630,0.0000,bullish,0.0818,0.2500,,,457.13,"Buy Init: RSI(33.88)<=OS(40), 15mOK, >VWAP",66.570,
20250325 12:23:00 US/Eastern,CONL_conservative,SELL,10,19.2400,19.6200,40.37,-0.1057,-0.1116,19.3778,19.2825,0.0000,bullish,0.0624,0.2500,-3.800,-1.937,649.53,StopLossHit(19.370),19.370,
20250325 12:54:00 US/Eastern,TQQQ_conservative,SELL,7,67.0300,66.8200,67.40,0.0489,0.0250,66.7825,66.8405,0.0000,bullish,0.0693,0.2500,1.470,0.314,1118.74,RSIOverbought(67.40>=65),,
20250325 13:01:00 US/Eastern,IBIT_conservative,SELL,10,50.0400,49.9700,67.65,0.0208,0.0100,49.9192,49.9295,0.0000,bullish,0.0451,0.2500,0.700,0.140,1619.14,RSIOverbought(67.65>=65),,
20250325 13:04:00 US/Eastern,BITX_conservative,SELL,10,41.2900,41.0700,67.11,0.0516,0.0293,40.9572,41.0940,0.0000,bullish,0.0642,0.2500,2.200,0.536,2032.04,RSIOverbought(67.11>=65),,
